timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676632481361,248,TP PORTAL LOGIN Request,200,OK,Thread Group 1-1,text,true,,12751,246,25,25,http://10.9.0.77:5333/api/portal/login,248,0,7
1676632481374,278,TP PORTAL LOGIN Request,200,OK,Thread Group 1-2,text,true,,12751,246,29,29,http://10.9.0.77:5333/api/portal/login,277,0,2
1676632481419,252,TP PORTAL LOGIN Request,200,OK,Thread Group 1-7,text,true,,12751,246,29,29,http://10.9.0.77:5333/api/portal/login,251,0,3
1676632481389,294,TP PORTAL LOGIN Request,200,OK,Thread Group 1-4,text,true,,12751,246,30,30,http://10.9.0.77:5333/api/portal/login,294,0,3
1676632481419,317,TP PORTAL LOGIN Request,200,OK,Thread Group 1-6,text,true,,12751,246,33,33,http://10.9.0.77:5333/api/portal/login,317,0,3
1676632481389,400,TP PORTAL LOGIN Request,200,OK,Thread Group 1-3,text,true,,12751,246,38,38,http://10.9.0.77:5333/api/portal/login,400,0,3
1676632481434,358,TP PORTAL LOGIN Request,200,OK,Thread Group 1-8,text,true,,12751,246,37,37,http://10.9.0.77:5333/api/portal/login,358,0,3
1676632481465,668,TP PORTAL LOGIN Request,200,OK,Thread Group 1-11,text,true,,12751,246,71,71,http://10.9.0.77:5333/api/portal/login,667,0,6
1676632481480,654,TP PORTAL LOGIN Request,200,OK,Thread Group 1-12,text,true,,12751,246,70,70,http://10.9.0.77:5333/api/portal/login,654,0,5
1676632481449,698,TP PORTAL LOGIN Request,200,OK,Thread Group 1-9,text,true,,12751,246,70,70,http://10.9.0.77:5333/api/portal/login,698,0,3
1676632481480,668,TP PORTAL LOGIN Request,200,OK,Thread Group 1-13,text,true,,12751,246,69,69,http://10.9.0.77:5333/api/portal/login,668,0,5
1676632481449,701,TP PORTAL LOGIN Request,200,OK,Thread Group 1-10,text,true,,12751,246,68,68,http://10.9.0.77:5333/api/portal/login,700,0,3
1676632481404,747,TP PORTAL LOGIN Request,200,OK,Thread Group 1-5,text,true,,12751,246,68,68,http://10.9.0.77:5333/api/portal/login,747,0,4
1676632481527,833,TP PORTAL LOGIN Request,200,OK,Thread Group 1-17,text,true,,12751,246,87,87,http://10.9.0.77:5333/api/portal/login,833,0,4
1676632481512,848,TP PORTAL LOGIN Request,200,OK,Thread Group 1-16,text,true,,12751,246,87,87,http://10.9.0.77:5333/api/portal/login,847,0,7
1676632481496,923,TP PORTAL LOGIN Request,200,OK,Thread Group 1-14,text,true,,12751,246,85,85,http://10.9.0.77:5333/api/portal/login,923,0,4
1676632481603,954,TP PORTAL LOGIN Request,200,OK,Thread Group 1-25,text,true,,12751,246,84,84,http://10.9.0.77:5333/api/portal/login,954,0,4
1676632481863,769,TP PORTAL LOGIN Request,200,OK,Thread Group 1-51,text,true,,12751,246,83,83,http://10.9.0.77:5333/api/portal/login,769,0,9
1676632481543,1646,TP PORTAL LOGIN Request,200,OK,Thread Group 1-19,text,true,,12751,246,82,82,http://10.9.0.77:5333/api/portal/login,1646,0,5
1676632481833,1357,TP PORTAL LOGIN Request,200,OK,Thread Group 1-47,text,true,,12751,246,81,81,http://10.9.0.77:5333/api/portal/login,1357,0,3
1676632481710,1490,TP PORTAL LOGIN Request,200,OK,Thread Group 1-36,text,true,,12751,246,80,80,http://10.9.0.77:5333/api/portal/login,1489,0,4
1676632481649,1552,TP PORTAL LOGIN Request,200,OK,Thread Group 1-30,text,true,,12751,246,79,79,http://10.9.0.77:5333/api/portal/login,1551,0,6
1676632481558,1647,TP PORTAL LOGIN Request,200,OK,Thread Group 1-20,text,true,,12751,246,78,78,http://10.9.0.77:5333/api/portal/login,1647,0,8
1676632481573,1638,TP PORTAL LOGIN Request,200,OK,Thread Group 1-22,text,true,,12751,246,77,77,http://10.9.0.77:5333/api/portal/login,1637,0,4
1676632481802,1418,TP PORTAL LOGIN Request,200,OK,Thread Group 1-45,text,true,,12751,246,76,76,http://10.9.0.77:5333/api/portal/login,1417,0,3
1676632481879,1361,TP PORTAL LOGIN Request,200,OK,Thread Group 1-52,text,true,,12751,246,75,75,http://10.9.0.77:5333/api/portal/login,1361,0,4
1676632481588,1682,TP PORTAL LOGIN Request,200,OK,Thread Group 1-23,text,true,,12751,246,74,74,http://10.9.0.77:5333/api/portal/login,1681,0,9
1676632481649,1623,TP PORTAL LOGIN Request,200,OK,Thread Group 1-29,text,true,,12751,246,73,73,http://10.9.0.77:5333/api/portal/login,1622,0,6
1676632481603,1671,TP PORTAL LOGIN Request,200,OK,Thread Group 1-24,text,true,,12751,246,72,72,http://10.9.0.77:5333/api/portal/login,1670,0,4
1676632481818,1466,TP PORTAL LOGIN Request,200,OK,Thread Group 1-46,text,true,,12751,246,71,71,http://10.9.0.77:5333/api/portal/login,1466,0,9
1676632481833,1454,TP PORTAL LOGIN Request,200,OK,Thread Group 1-48,text,true,,12751,246,70,70,http://10.9.0.77:5333/api/portal/login,1453,0,3
1676632481757,1531,TP PORTAL LOGIN Request,200,OK,Thread Group 1-40,text,true,,12751,246,69,69,http://10.9.0.77:5333/api/portal/login,1531,0,2
1676632482080,1225,TP PORTAL LOGIN Request,200,OK,Thread Group 1-73,text,true,,12751,246,68,68,http://10.9.0.77:5333/api/portal/login,1225,0,3
1676632482070,1235,TP PORTAL LOGIN Request,200,OK,Thread Group 1-72,text,true,,12751,246,67,67,http://10.9.0.77:5333/api/portal/login,1235,0,4
